id,iteracion,optimizador,clasificador,accuracy,precision,recall,best_epoch,best_fitness,total_time,features
,26,BaseGA,svm,0.9494618624,0.845231285,0.8102652278,24,0.8733095457,431.5047293,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,27,BaseGA,knn,0.9546092653,0.8844929934,0.8747286851,22,0.8719053553,135.6651115,"Index(['meanX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,27,BaseGA,svm,0.9494618624,0.845231285,0.8102652278,34,0.8733095457,401.6919947,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,28,BaseGA,knn,0.9480580253,0.8546768864,0.8295121084,47,0.8729873018,133.315223,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,28,BaseGA,svm,0.9494618624,0.845231285,0.8102652278,46,0.8733095457,413.5432506,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,29,BaseGA,knn,0.9532054282,0.8729295918,0.860901909,38,0.872452635,133.6642451,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,29,BaseGA,svm,0.9494618624,0.845231285,0.8102652278,20,0.8733095457,411.0809155,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,30,BaseGA,knn,0.9546092653,0.8736219615,0.8668552242,18,0.8710289588,131.8326869,"Index(['minX', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,30,BaseGA,svm,0.9494618624,0.845231285,0.8102652278,21,0.8733095457,433.0054255,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,1,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,29,0.8729873018,447.4481287,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,1,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,28,0.8733095457,1188.027093,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,2,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,23,0.8729873018,439.0114961,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,2,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,19,0.8733095457,1130.325504,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,3,OriginalABC,knn,0.9546092653,0.8844929934,0.8747286851,29,0.8719053553,438.7161863,"Index(['meanX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,3,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,15,0.8733095457,1108.210656,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,4,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,21,0.872452635,435.4266036,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,4,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1139.913319,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,5,OriginalABC,knn,0.9546092653,0.8844929934,0.8747286851,42,0.8719053553,460.4058878,"Index(['meanX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,5,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,21,0.8733095457,1263.945468,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,6,OriginalABC,knn,0.9527374825,0.8688792374,0.8552110718,29,0.8717957811,440.7361789,"Index(['minX', 'maxZ2', 'corXZ2', 'sdMagnitude2'], dtype='object')"
,6,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1179.428904,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,7,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,23,0.8729873018,434.4960017,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,7,OriginalABC,svm,0.9321478708,0.7867540982,0.7620376624,19,0.8719627043,1225.791495,"Index(['sdX2', 'maxY2', 'maxZ2', 'corXZ2'], dtype='object')"
,8,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,12,0.8729873018,423.9717937,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,8,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,27,0.8733095457,1157.181239,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,9,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,23,0.8729873018,442.3730314,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,9,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1165.279521,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,10,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,17,0.872452635,443.1475911,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,10,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1149.299193,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,11,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,32,0.8729873018,436.0865386,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,11,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,17,0.8733095457,1153.922432,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,12,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,28,0.872452635,432.0873945,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,12,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,21,0.8733095457,1123.449018,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,13,OriginalABC,knn,0.9513336453,0.8752622192,0.8433128195,24,0.870920789,427.9666469,"Index(['maxZ', 'meanZ2', 'sdX2'], dtype='object')"
,13,OriginalABC,svm,0.956481048,0.8805605035,0.854048022,24,0.8720139193,1129.024933,"Index(['maxZ', 'meanZ2', 'sdX2', 'sdY2', 'corXZ2'], dtype='object')"
,14,OriginalABC,knn,0.939167057,0.8318336451,0.7970464764,21,0.8712191618,424.1305616,"Index(['meanMagnitude', 'meanX2', 'maxX2'], dtype='object')"
,14,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1156.513937,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,15,OriginalABC,knn,0.9513336453,0.8752622192,0.8433128195,28,0.870920789,429.2445548,"Index(['maxZ', 'meanZ2', 'sdX2'], dtype='object')"
,15,OriginalABC,svm,0.9513336453,0.8603372157,0.8218395857,23,0.8720963218,1108.045273,"Index(['minZ', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,16,OriginalABC,knn,0.9480580253,0.8546768864,0.8295121084,33,0.8729873018,429.9795492,"Index(['minZ', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
,16,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,27,0.8733095457,1107.817611,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,17,OriginalABC,knn,0.9532054282,0.8729295918,0.860901909,30,0.872452635,429.9222522,"Index(['minX', 'meanZ2', 'sdX2', 'corXZ2'], dtype='object')"
,17,OriginalABC,svm,0.9494618624,0.845231285,0.8102652278,22,0.8733095457,1149.843218,"Index(['minX', 'minX2', 'corXZ2'], dtype='object')"
,18,OriginalABC,knn,0.9546092653,0.8844929934,0.8747286851,23,0.8719053553,418.1268282,"Index(['meanX', 'sdX2', 'minX2', 'corXZ2'], dtype='object')"
