id,iteracion,optimizador,clasificador,accuracy,precision,recall,best_epoch,best_fitness,total_time,features
,25,OriginalArchOA,knn,0.9522695367,0.8718156442,0.8647787533,17,0.8708689332,199.9366827,"Index(['minX', 'sdX2', 'maxX2', 'corXZ2'], dtype='object')"
,25,OriginalArchOA,svm,0.956481048,0.8811452946,0.858188275,30,0.871997562,527.1901991,"Index(['meanZ', 'sdX2', 'sdY2', 'maxZ2', 'corXZ2'], dtype='object')"
,26,OriginalArchOA,knn,0.945250351,0.867074982,0.8221415724,14,0.869614373,187.2770536,"Index(['maxZ', 'maxX2', 'maxZ2'], dtype='object')"
,26,OriginalArchOA,svm,0.9513336453,0.8603372157,0.8218395857,12,0.8720963218,598.8679936,"Index(['minZ', 'sdX2', 'maxZ2', 'corXZ2'], dtype='object')"
,27,OriginalArchOA,knn,0.918577445,0.7406990519,0.7227025976,24,0.8714596192,195.8431125,"Index(['minX2', 'corXZ2'], dtype='object')"
,27,OriginalArchOA,svm,0.9344875994,0.798455194,0.7741069195,18,0.8708551379,591.8507047,"Index(['sdMagnitude', 'maxY2', 'minX2', 'corXZ2'], dtype='object')"
,28,OriginalArchOA,knn,0.9372952737,0.8282618247,0.7952231523,25,0.867966227,203.0767705,"Index(['minY', 'meanZ2', 'maxX2'], dtype='object')"
,28,OriginalArchOA,svm,0.956481048,0.8811452946,0.858188275,38,0.871997562,593.2300236,"Index(['meanZ', 'sdX2', 'sdY2', 'maxZ2', 'corXZ2'], dtype='object')"
,29,OriginalArchOA,knn,0.9471221338,0.8569722425,0.8337221786,20,0.870829149,195.4495399,"Index(['auc', 'meanX2', 'sdX2'], dtype='object')"
,29,OriginalArchOA,svm,0.9494618624,0.8563717048,0.8087345074,35,0.86807659,660.8150122,"Index(['minX', 'maxX2', 'corXZ2'], dtype='object')"
,30,OriginalArchOA,knn,0.918577445,0.7406990519,0.7227025976,28,0.8714596192,204.9749806,"Index(['minX2', 'corXZ2'], dtype='object')"
