combination,meanY,corXY,corXY2,meanMagnitude2,maxY2,corXZ2,maxZ2,sdZ,meanY2,meanMagnitude,meanZ,corYZ2,maxZ,minX2,minZ,meanX,corXZ,sdZ2,auc2,sdX,maxY,maxX2,meanX2,sdMagnitude2,minY2,minZ2,sdY2,meanDif,meanZ2,sdX2,sdMagnitude,corYZ,maxX,auc,sdY,minY,minX,meanDif2,user
BaseGA_knn,0,0,0,0,4,1,4,0,0,0,0,27,0,2,1,2,0,0,1,0,1,10,5,0,0,0,0,4,13,1,27,0,1,0,9,0,10,0,504.0
BaseGA_svm,2,0,0,3,24,0,3,0,0,0,3,30,4,7,4,0,0,15,4,0,2,10,0,0,0,1,1,0,0,2,22,0,2,0,8,1,3,1,504.0
OriginalArchOA_knn,1,1,0,5,9,4,12,0,1,1,5,25,3,5,1,1,4,0,4,2,4,4,0,6,2,0,0,0,9,6,17,1,0,4,2,1,2,2,504.0
OriginalArchOA_svm,3,0,0,5,20,7,3,0,0,0,2,25,4,3,1,0,0,8,7,1,5,9,1,2,0,0,0,2,1,10,16,0,1,0,7,1,3,0,504.0
OriginalDO_knn,1,1,16,4,14,20,13,1,2,3,7,28,5,5,0,2,3,3,4,10,1,7,2,6,0,1,15,1,3,17,18,1,5,3,7,8,6,3,504.0
OriginalDO_svm,9,3,1,2,25,18,5,0,0,0,4,23,9,5,0,0,0,6,3,7,1,8,1,5,2,0,4,0,3,22,17,0,0,1,4,0,3,1,504.0
OriginalGBO_knn,1,2,12,6,14,10,14,0,2,1,5,27,3,4,1,3,1,3,6,6,0,9,3,5,0,0,8,3,6,10,12,0,6,7,4,2,4,3,504.0
OriginalGBO_svm,8,2,1,4,19,12,5,0,0,2,4,24,9,6,2,0,1,8,5,3,2,6,1,4,0,0,4,1,1,18,13,1,1,0,6,1,2,1,504.0
OriginalJA_knn,2,2,9,4,14,10,16,2,4,6,4,27,5,8,0,6,2,4,4,8,0,8,8,2,1,1,7,4,5,15,8,2,3,6,3,11,4,7,504.0
OriginalJA_svm,12,2,0,8,21,9,3,3,1,0,3,28,6,4,2,3,1,5,5,3,2,10,4,1,0,1,4,7,6,21,14,0,0,1,7,1,4,1,504.0
OriginalRUN_knn,2,1,9,1,10,2,12,0,1,1,2,25,1,3,1,1,1,3,3,4,1,9,2,1,0,2,2,4,4,6,20,2,1,4,8,2,10,4,504.0
OriginalRUN_svm,8,2,0,5,25,8,5,0,2,1,3,22,2,3,1,0,0,4,5,2,1,7,1,3,2,0,0,0,3,12,17,1,1,0,4,1,0,0,504.0
OriginalWOA_knn,1,5,5,3,9,0,7,1,2,5,5,15,2,5,1,1,3,0,7,2,4,10,3,10,1,0,4,4,6,9,11,0,0,2,4,4,6,1,504.0
OriginalWOA_svm,4,0,0,6,20,4,3,0,2,0,2,22,5,2,2,0,0,3,5,5,1,8,3,7,3,2,0,1,3,11,9,2,0,0,5,0,1,1,504.0
PPSO_knn,2,2,7,5,10,4,6,1,2,4,2,21,3,4,3,3,3,2,4,5,1,6,2,7,0,0,3,0,11,8,9,1,1,5,4,2,3,2,504.0
PPSO_svm,10,1,0,4,13,3,2,0,1,0,5,22,1,2,1,0,0,4,3,0,2,7,1,1,0,3,2,0,3,14,12,1,0,1,4,0,3,1,504.0
BaseDE_knn,7,6,0,7,1,0,7,16,3,4,3,0,6,8,11,10,6,12,6,6,4,9,9,13,18,4,6,4,6,7,7,1,10,10,1,1,5,3,505.0
BaseDE_svm,8,2,4,6,5,0,5,2,0,2,3,4,2,3,2,1,1,6,0,3,4,9,3,6,3,5,3,1,1,5,3,4,3,5,1,6,2,0,505.0
BaseGA_knn,10,0,0,0,0,0,0,0,0,0,9,0,3,11,0,0,0,8,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,505.0
BaseGA_svm,5,0,0,0,0,0,0,0,2,2,2,0,2,0,0,3,0,2,0,0,3,14,0,1,3,8,0,0,0,5,0,0,4,0,0,1,3,0,505.0
OriginalArchOA_knn,2,1,0,4,0,0,2,0,0,1,5,0,8,6,4,2,1,11,0,1,4,1,1,12,10,2,1,0,2,0,1,1,0,2,0,0,2,0,505.0
OriginalArchOA_svm,4,0,0,0,0,0,0,0,2,3,3,0,6,0,2,1,0,2,1,0,2,8,0,5,3,7,0,0,0,7,0,0,1,1,0,0,2,0,505.0
OriginalDO_knn,6,1,0,1,0,0,2,2,0,1,6,0,5,10,1,1,1,9,1,0,1,2,0,12,4,3,1,0,0,1,2,3,1,1,0,0,0,0,505.0
OriginalDO_svm,3,0,0,1,0,0,0,0,0,1,3,0,2,0,0,4,0,4,0,0,1,5,0,7,2,8,0,0,1,4,0,0,7,3,0,1,3,0,505.0
OriginalGBO_knn,4,0,0,0,0,0,2,0,0,0,8,0,4,6,1,1,3,14,2,0,1,1,0,14,9,2,0,0,1,2,0,0,2,2,0,0,1,1,505.0
OriginalGBO_svm,2,0,0,2,0,0,0,0,2,2,1,0,7,1,1,3,0,2,0,0,2,11,0,3,3,8,0,0,0,4,1,0,2,2,0,1,0,0,505.0
OriginalJA_knn,7,2,0,1,0,1,0,2,0,2,6,0,1,1,4,2,2,12,1,1,4,3,3,10,9,2,0,2,1,4,1,0,3,4,0,0,3,0,505.0
OriginalJA_svm,3,0,0,0,0,1,0,0,4,2,3,0,1,0,3,4,0,2,0,0,4,11,2,7,0,8,0,0,0,1,0,0,2,1,0,3,1,0,505.0
OriginalRUN_knn,6,0,0,2,0,0,0,2,1,0,5,0,1,6,1,3,2,14,1,1,3,5,2,10,8,0,0,0,0,1,0,0,2,1,0,0,3,0,505.0
OriginalRUN_svm,2,0,0,1,0,0,0,0,0,2,6,0,4,3,0,3,0,3,0,0,1,7,0,2,2,11,0,0,0,4,0,0,5,1,0,2,1,0,505.0
OriginalWOA_knn,8,1,0,1,2,0,1,1,0,1,0,0,6,6,3,0,1,9,1,0,1,1,0,13,6,4,1,0,1,3,0,0,1,0,0,1,1,1,505.0
OriginalWOA_svm,4,0,0,0,0,0,0,0,0,2,2,0,6,0,3,3,0,3,0,0,0,8,0,10,3,8,0,0,0,1,0,0,2,1,0,1,3,0,505.0
PPSO_knn,4,2,0,3,1,0,1,3,1,1,5,0,3,4,0,1,4,10,0,0,3,4,3,4,7,6,1,0,1,4,3,1,2,1,1,1,4,0,505.0
