filter_method,classifier,accuracy,precision,recall,F1,MCC,Balanced_accuracy,total_time,features
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.540341854095459,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.9641625881195068,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.21622371673583984,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.8299527168273926,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.6619288921356201,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,2.011481285095215,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.6404962539672852,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.915616512298584,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.22387361526489258,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.2026960849761963,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.504976749420166,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.569991111755371,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.48250818252563477,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,2.589693069458008,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.5325901508331299,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.518505334854126,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.4097425937652588,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.6598594188690186,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.24335002899169922,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,1.2147982120513916,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.24747395515441895,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,svm,0.9499298081422555,0.8502050228681121,0.8075849589770051,0.8126943609488618,0.9071882548346071,0.8075849589770051,0.7820043563842773,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
CHI,knn,0.9499298081422555,0.8767890843071644,0.8621004109399987,0.8689810705290583,0.9072945946808285,0.8621004109399987,0.22140264511108398,"['meanX', 'maxX', 'meanX2', 'sdX2', 'sdZ2', 'sdMagnitude2']"
