user,combination,accuracy,precision,recall,F1,MCC,Balanced_accuracy,sensitivity,specificity,number_features
504,OriginalWOA_knn,0.9632323232323231,0.9014023474046513,0.8982027649769585,0.8961425779943312,0.9384254486661016,0.8982027649769585,0.8982027649769585,0.9889733343284054,5.266666666666667
504,OriginalWOA_svm,0.9741414141414141,0.9328647837174942,0.9248310291858679,0.9269312099481228,0.956613684638593,0.9248310291858679,0.9248310291858679,0.9920763009248894,4.733333333333333
504,PPSO_knn,0.9591919191919193,0.8901487409864529,0.8778469022017409,0.8799913208074256,0.931379138648694,0.8778469022017409,0.8778469022017409,0.9870849889599762,5.266666666666667
504,PPSO_svm,0.9696969696969696,0.9205357429271595,0.9014464925755249,0.9077246692219707,0.9490802540626697,0.9014464925755249,0.9014464925755249,0.9907957455761633,4.233333333333333
505,BaseDE_knn,0.9674509803921568,0.8258962129515838,0.8224813350900307,0.8222613047642997,0.954917846620339,0.8224813350900307,0.8224813350900307,0.9909696353652825,7.9
505,BaseDE_svm,0.9670588235294116,0.790682459434889,0.8003674425413556,0.7946841022999889,0.9545588163908978,0.8003674425413556,0.8003674425413556,0.9900428775307578,4.1
505,BaseGA_knn,0.9529411764705882,0.8274641167992056,0.8343419704289269,0.8294932426644698,0.9348687666346253,0.8343419704289269,0.8343419704289269,0.9871673970427096,2.0
505,BaseGA_svm,0.9701960784313725,0.7811529066676731,0.7962479871175524,0.7884582466201857,0.958901930635701,0.7962479871175524,0.7962479871175524,0.9912021094735283,2.0
505,OriginalArchOA_knn,0.9631372549019608,0.8347846390029557,0.8374615722441808,0.8341663788295751,0.9489453645679232,0.8374615722441808,0.8374615722441808,0.9897308624618528,2.9
505,OriginalArchOA_svm,0.9690196078431371,0.7805499032913961,0.7951910408432148,0.787582427242228,0.9572869609201765,0.7951910408432148,0.7951910408432148,0.9908381723353976,2.0
505,OriginalDO_knn,0.9541176470588234,0.8152883749403973,0.8213526570048308,0.8169657876381484,0.936596267515644,0.8213526570048308,0.8213526570048308,0.9873767513765725,2.6
505,OriginalDO_svm,0.9662745098039216,0.7783635518775207,0.7938032498902065,0.785759361695317,0.9534774233830473,0.7938032498902065,0.7938032498902065,0.9900136837037226,2.0
505,OriginalGBO_knn,0.9576470588235293,0.8354287305024706,0.8374996340213732,0.8336342536250182,0.9415372888380171,0.8374996340213732,0.8374996340213732,0.9884691019648074,2.7
505,OriginalGBO_svm,0.9666666666666666,0.7788978506055199,0.7909149465671205,0.7840893221637457,0.9540983327760315,0.7909149465671205,0.7909149465671205,0.9902833845660037,2.0
505,OriginalJA_knn,0.963921568627451,0.8627889520388036,0.8464339042599912,0.848789052867265,0.9502111921802862,0.8464339042599912,0.8464339042599912,0.9901073391200563,3.1333333333333333
505,OriginalJA_svm,0.9698039215686275,0.7817628075025437,0.7958512662860489,0.788571025618844,0.9583334082417341,0.7958512662860489,0.7958512662860489,0.9909633593817513,2.1
505,OriginalRUN_knn,0.9607843137254901,0.8494399375657621,0.837938808373591,0.8395853975752225,0.9457773843604611,0.837938808373591,0.837938808373591,0.989020395691992,2.6666666666666665
505,OriginalRUN_svm,0.9662745098039215,0.7788761249668504,0.791897233201581,0.7848498405475374,0.9534564406404467,0.791897233201581,0.791897233201581,0.9900061661134058,2.0
505,OriginalWOA_knn,0.9600000000000001,0.8264650775256048,0.8289445176401699,0.8263761670759707,0.9446532290827877,0.8289445176401699,0.8289445176401699,0.988864921753722,2.5
505,OriginalWOA_svm,0.964313725490196,0.776802222616602,0.7912648221343873,0.7836324081979825,0.9507246819065267,0.7912648221343873,0.7912648221343873,0.9894794442311103,2.0
505,PPSO_knn,0.9607843137254902,0.8270379197110574,0.8273810569462743,0.8246989568379991,0.9457870717804346,0.8273810569462743,0.8273810569462743,0.9894181565067409,2.966666666666667
